datetime,business date,date,time,open,high,low,close,volume
2025-04-17 10:50:00,2025-04-17,2025-04-17,10:50:00,21245.06,21251.0,21236.41,21248.21,26481502
2025-04-17 10:51:00,2025-04-17,2025-04-17,10:51:00,21241.0,21256.61,21241.0,21256.09,25933801
2025-04-17 10:52:00,2025-04-17,2025-04-17,10:52:00,21255.46,21260.89,21250.64,21253.97,39798090
2025-04-17 10:53:00,2025-04-17,2025-04-17,10:53:00,21253.99,21268.56,21253.99,21260.61,37853138
2025-04-17 10:54:00,2025-04-17,2025-04-17,10:54:00,21259.51,21282.81,21257.33,21281.62,31855800
2025-04-17 10:55:00,2025-04-17,2025-04-17,10:55:00,21280.99,21289.31,21279.44,21282.01,30680729
2025-04-17 10:56:00,2025-04-17,2025-04-17,10:56:00,21270.67,21289.22,21270.67,21283.96,25446839
2025-04-17 10:57:00,2025-04-17,2025-04-17,10:57:00,21286.21,21286.29,21276.35,21282.07,17674961
2025-04-17 10:58:00,2025-04-17,2025-04-17,10:58:00,21280.36,21309.94,21280.36,21309.94,34031951
2025-04-17 10:59:00,2025-04-17,2025-04-17,10:59:00,21308.72,21330.58,21308.72,21329.47,50500905
2025-04-17 11:00:00,2025-04-17,2025-04-17,11:00:00,21330.85,21330.85,21320.41,21322.28,31017007
2025-04-17 11:01:00,2025-04-17,2025-04-17,11:01:00,21315.93,21339.71,21315.93,21339.71,31416059
2025-04-17 11:02:00,2025-04-17,2025-04-17,11:02:00,21337.52,21348.19,21337.52,21345.06,27319490
2025-04-17 11:03:00,2025-04-17,2025-04-17,11:03:00,21343.76,21343.76,21335.86,21335.86,26169195
2025-04-17 11:04:00,2025-04-17,2025-04-17,11:04:00,21336.0,21337.65,21326.73,21326.73,24155656
2025-04-17 11:05:00,2025-04-17,2025-04-17,11:05:00,21326.55,21330.62,21322.3,21323.85,18258516
2025-04-17 11:06:00,2025-04-17,2025-04-17,11:06:00,21316.6,21320.52,21294.83,21294.83,30725028
2025-04-17 11:07:00,2025-04-17,2025-04-17,11:07:00,21293.26,21304.9,21291.78,21303.37,17106331
2025-04-17 11:08:00,2025-04-17,2025-04-17,11:08:00,21305.51,21306.5,21299.53,21300.6,21591951
2025-04-17 11:09:00,2025-04-17,2025-04-17,11:09:00,21300.35,21315.15,21298.25,21308.03,18818523
2025-04-17 11:10:00,2025-04-17,2025-04-17,11:10:00,21308.1,21308.1,21296.63,21300.36,21603566
2025-04-17 11:11:00,2025-04-17,2025-04-17,11:11:00,21293.42,21309.9,21288.69,21309.66,25298734
